DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	VOL	SPREAD	DATE_TIME
2023.09.11	00:15:00	1.07113	1.07114	1.07096	1.07107	13	0	32	2023.09.11 00:15:00
2023.09.11	00:16:00	1.07113	1.07113	1.07096	1.07096	7	0	35	2023.09.11 00:16:00
2023.09.11	00:17:00	1.0711	1.07112	1.0711	1.07112	4	0	32	2023.09.11 00:17:00
2023.09.11	00:18:00	1.07113	1.07113	1.07096	1.07098	8	0	32	2023.09.11 00:18:00
2023.09.11	00:19:00	1.07112	1.07112	1.07099	1.07106	5	0	36	2023.09.11 00:19:00
2023.09.11	00:20:00	1.07099	1.07107	1.07097	1.07107	6	0	47	2023.09.11 00:20:00
2023.09.11	00:21:00	1.07099	1.07113	1.07097	1.07099	14	0	32	2023.09.11 00:21:00
2023.09.11	00:22:00	1.0711	1.0711	1.07097	1.07097	7	0	32	2023.09.11 00:22:00
2023.09.11	00:23:00	1.07104	1.07109	1.07098	1.07104	5	0	32	2023.09.11 00:23:00
2023.09.11	00:24:00	1.07104	1.07112	1.07098	1.07109	9	0	24	2023.09.11 00:24:00
2023.09.11	00:25:00	1.07112	1.07119	1.07099	1.071	20	0	24	2023.09.11 00:25:00
2023.09.11	00:26:00	1.07109	1.07112	1.07096	1.07098	15	0	24	2023.09.11 00:26:00
2023.09.11	00:27:00	1.07097	1.07108	1.07097	1.07099	19	0	41	2023.09.11 00:27:00
2023.09.11	00:28:00	1.07105	1.07113	1.07098	1.07113	9	0	24	2023.09.11 00:28:00
2023.09.11	00:29:00	1.0711	1.0711	1.07101	1.07108	3	0	37	2023.09.11 00:29:00
2023.09.11	00:30:00	1.07108	1.07112	1.071	1.07111	9	0	24	2023.09.11 00:30:00
2023.09.11	00:31:00	1.07111	1.07111	1.07099	1.07107	5	0	24	2023.09.11 00:31:00
2023.09.11	00:32:00	1.07108	1.07114	1.071	1.07101	13	0	24	2023.09.11 00:32:00
2023.09.11	00:33:00	1.07112	1.07115	1.071	1.07114	14	0	24	2023.09.11 00:33:00
2023.09.11	00:34:00	1.07113	1.07113	1.071	1.07113	9	0	24	2023.09.11 00:34:00
2023.09.11	00:35:00	1.07112	1.07131	1.071	1.0713	20	0	24	2023.09.11 00:35:00
2023.09.11	00:36:00	1.07117	1.07132	1.07117	1.07118	6	0	24	2023.09.11 00:36:00
2023.09.11	00:37:00	1.07125	1.07128	1.07117	1.07128	4	0	32	2023.09.11 00:37:00
2023.09.11	00:38:00	1.07118	1.07132	1.07118	1.07131	9	0	24	2023.09.11 00:38:00
2023.09.11	00:39:00	1.07132	1.07133	1.07118	1.0712	16	0	24	2023.09.11 00:39:00
2023.09.11	00:40:00	1.07128	1.07155	1.07119	1.07147	61	0	24	2023.09.11 00:40:00
2023.09.11	00:41:00	1.07143	1.07175	1.07143	1.0716	97	0	24	2023.09.11 00:41:00
2023.09.11	00:42:00	1.07161	1.07191	1.07157	1.07174	41	0	24	2023.09.11 00:42:00
2023.09.11	00:43:00	1.07181	1.07181	1.07147	1.07148	41	0	24	2023.09.11 00:43:00
2023.09.11	00:44:00	1.07149	1.07158	1.07144	1.07153	29	0	32	2023.09.11 00:44:00
2023.09.11	00:45:00	1.07142	1.07154	1.07136	1.0714	26	0	24	2023.09.11 00:45:00
2023.09.11	00:46:00	1.07153	1.07155	1.07149	1.07152	11	0	24	2023.09.11 00:46:00
2023.09.11	00:47:00	1.07151	1.07157	1.07148	1.07157	9	0	24	2023.09.11 00:47:00
2023.09.11	00:48:00	1.07156	1.07157	1.07147	1.07156	39	0	24	2023.09.11 00:48:00
2023.09.11	00:49:00	1.07155	1.07159	1.07147	1.07158	52	0	24	2023.09.11 00:49:00
2023.09.11	00:50:00	1.07153	1.07154	1.07135	1.07138	53	0	24	2023.09.11 00:50:00
2023.09.11	00:51:00	1.07134	1.0714	1.07133	1.07139	18	0	24	2023.09.11 00:51:00
2023.09.11	00:52:00	1.07136	1.07137	1.07125	1.0713	12	0	31	2023.09.11 00:52:00
2023.09.11	00:53:00	1.07131	1.07145	1.07125	1.0713	30	0	24	2023.09.11 00:53:00
2023.09.11	00:54:00	1.0713	1.07145	1.0713	1.07136	17	0	33	2023.09.11 00:54:00
2023.09.11	00:55:00	1.07147	1.07147	1.07135	1.07136	19	0	32	2023.09.11 00:55:00
2023.09.11	00:56:00	1.07136	1.07141	1.07135	1.07135	16	0	48	2023.09.11 00:56:00
2023.09.11	00:57:00	1.07143	1.0715	1.07136	1.07149	5	0	33	2023.09.11 00:57:00
2023.09.11	00:58:00	1.07137	1.07149	1.07134	1.07136	10	0	32	2023.09.11 00:58:00
2023.09.11	00:59:00	1.07134	1.07149	1.07134	1.07135	11	0	31	2023.09.11 00:59:00
2023.09.11	01:00:00	1.07148	1.07148	1.07104	1.07108	155	0	31	2023.09.11 01:00:00
2023.09.11	01:01:00	1.07108	1.07109	1.07101	1.07108	66	0	31	2023.09.11 01:01:00
2023.09.11	01:02:00	1.07107	1.07107	1.07082	1.0709	61	0	31	2023.09.11 01:02:00
2023.09.11	01:03:00	1.0709	1.07092	1.07082	1.07083	44	0	31	2023.09.11 01:03:00
2023.09.11	01:04:00	1.07083	1.07083	1.07071	1.07075	37	0	24	2023.09.11 01:04:00
2023.09.11	01:05:00	1.07076	1.07085	1.07073	1.07079	66	0	31	2023.09.11 01:05:00
2023.09.11	01:06:00	1.07079	1.07081	1.0707	1.07073	56	0	31	2023.09.11 01:06:00
2023.09.11	01:07:00	1.07074	1.07086	1.07074	1.07086	27	0	29	2023.09.11 01:07:00
2023.09.11	01:08:00	1.07086	1.0709	1.07084	1.07085	24	0	27	2023.09.11 01:08:00
2023.09.11	01:09:00	1.07087	1.0709	1.07085	1.07085	22	0	27	2023.09.11 01:09:00
2023.09.11	01:10:00	1.07086	1.0709	1.07082	1.07089	47	0	29	2023.09.11 01:10:00
2023.09.11	01:11:00	1.0709	1.0709	1.07082	1.07082	23	0	26	2023.09.11 01:11:00
2023.09.11	01:12:00	1.07082	1.07084	1.0708	1.07081	33	0	31	2023.09.11 01:12:00
2023.09.11	01:13:00	1.07081	1.07087	1.07078	1.07083	42	0	29	2023.09.11 01:13:00
2023.09.11	01:14:00	1.07084	1.07088	1.07082	1.07083	12	0	28	2023.09.11 01:14:00
2023.09.11	01:15:00	1.07085	1.07088	1.07084	1.07084	114	0	31	2023.09.11 01:15:00
2023.09.11	01:16:00	1.07089	1.07089	1.07085	1.07087	6	0	24	2023.09.11 01:16:00
2023.09.11	01:17:00	1.07087	1.07096	1.0708	1.07083	61	0	19	2023.09.11 01:17:00
2023.09.11	01:18:00	1.07084	1.07096	1.07084	1.07089	117	0	31	2023.09.11 01:18:00
2023.09.11	01:19:00	1.07087	1.07095	1.07087	1.07092	107	0	31	2023.09.11 01:19:00
2023.09.11	01:20:00	1.07092	1.07092	1.07087	1.07089	156	0	31	2023.09.11 01:20:00
2023.09.11	01:21:00	1.07087	1.07089	1.07074	1.0708	128	0	19	2023.09.11 01:21:00
2023.09.11	01:22:00	1.07083	1.07087	1.07081	1.07083	7	0	19	2023.09.11 01:22:00
2023.09.11	01:23:00	1.07082	1.07089	1.07077	1.0708	51	0	16	2023.09.11 01:23:00
2023.09.11	01:24:00	1.0708	1.07096	1.0708	1.07088	62	0	19	2023.09.11 01:24:00
2023.09.11	01:25:00	1.07088	1.07092	1.07086	1.07087	94	0	31	2023.09.11 01:25:00
2023.09.11	01:26:00	1.07087	1.07092	1.07083	1.07092	79	0	15	2023.09.11 01:26:00
2023.09.11	01:27:00	1.07092	1.07092	1.0708	1.07091	112	0	16	2023.09.11 01:27:00
2023.09.11	01:28:00	1.0709	1.07097	1.07086	1.07088	39	0	16	2023.09.11 01:28:00
2023.09.11	01:29:00	1.07086	1.07095	1.07085	1.0709	123	0	16	2023.09.11 01:29:00
2023.09.11	01:30:00	1.0709	1.07096	1.0708	1.07095	208	0	31	2023.09.11 01:30:00
2023.09.11	01:31:00	1.07095	1.07113	1.07094	1.07113	100	0	16	2023.09.11 01:31:00
2023.09.11	01:32:00	1.07104	1.07105	1.07093	1.07095	85	0	23	2023.09.11 01:32:00
2023.09.11	01:33:00	1.07093	1.07096	1.07091	1.07094	239	0	31	2023.09.11 01:33:00
2023.09.11	01:34:00	1.07094	1.07107	1.07092	1.07104	126	0	31	2023.09.11 01:34:00
2023.09.11	01:35:00	1.07105	1.07106	1.07099	1.07101	55	0	21	2023.09.11 01:35:00
2023.09.11	01:36:00	1.07099	1.07111	1.07099	1.07105	58	0	16	2023.09.11 01:36:00
2023.09.11	01:37:00	1.07111	1.07111	1.07089	1.07092	139	0	18	2023.09.11 01:37:00
2023.09.11	01:38:00	1.07095	1.07106	1.07088	1.07094	87	0	16	2023.09.11 01:38:00
2023.09.11	01:39:00	1.07096	1.07106	1.0709	1.07093	90	0	17	2023.09.11 01:39:00
2023.09.11	01:40:00	1.07092	1.07099	1.07089	1.07097	65	0	23	2023.09.11 01:40:00
2023.09.11	01:41:00	1.07095	1.07106	1.07095	1.07106	85	0	22	2023.09.11 01:41:00
2023.09.11	01:42:00	1.07105	1.07108	1.07094	1.07095	105	0	22	2023.09.11 01:42:00
2023.09.11	01:43:00	1.07095	1.07099	1.07088	1.0709	95	0	16	2023.09.11 01:43:00
2023.09.11	01:44:00	1.07098	1.07099	1.07089	1.0709	14	0	16	2023.09.11 01:44:00
2023.09.11	01:45:00	1.07094	1.07099	1.07089	1.07094	13	0	16	2023.09.11 01:45:00
2023.09.11	01:46:00	1.07098	1.071	1.07088	1.0709	31	0	17	2023.09.11 01:46:00
2023.09.11	01:47:00	1.07088	1.07099	1.07086	1.07086	21	0	17	2023.09.11 01:47:00
2023.09.11	01:48:00	1.07092	1.07099	1.07085	1.07091	71	0	16	2023.09.11 01:48:00
2023.09.11	01:49:00	1.07089	1.07101	1.07089	1.07091	42	0	17	2023.09.11 01:49:00
2023.09.11	01:50:00	1.07091	1.07098	1.07089	1.07098	36	0	31	2023.09.11 01:50:00
2023.09.11	01:51:00	1.07097	1.07103	1.07093	1.07098	35	0	18	2023.09.11 01:51:00
2023.09.11	01:52:00	1.07094	1.07104	1.0709	1.07101	65	0	20	2023.09.11 01:52:00
2023.09.11	01:53:00	1.07108	1.07113	1.07098	1.07103	16	0	17	2023.09.11 01:53:00
2023.09.11	01:54:00	1.071	1.07103	1.07099	1.07103	8	0	21	2023.09.11 01:54:00
2023.09.11	01:55:00	1.07099	1.07103	1.07093	1.07097	41	0	31	2023.09.11 01:55:00
2023.09.11	01:56:00	1.07098	1.07111	1.07094	1.07111	20	0	16	2023.09.11 01:56:00
2023.09.11	01:57:00	1.07111	1.07111	1.07099	1.07102	46	0	17	2023.09.11 01:57:00
2023.09.11	01:58:00	1.07111	1.07112	1.07102	1.07103	17	0	17	2023.09.11 01:58:00
2023.09.11	01:59:00	1.07104	1.07112	1.07101	1.07103	39	0	18	2023.09.11 01:59:00
2023.09.11	02:00:00	1.0711	1.0711	1.07106	1.07109	11	0	17	2023.09.11 02:00:00
2023.09.11	02:01:00	1.07109	1.07109	1.071	1.07106	40	0	17	2023.09.11 02:01:00
2023.09.11	02:02:00	1.07106	1.07106	1.0709	1.07093	42	0	17	2023.09.11 02:02:00
2023.09.11	02:03:00	1.07094	1.071	1.07092	1.07098	40	0	17	2023.09.11 02:03:00
2023.09.11	02:04:00	1.07098	1.07098	1.07085	1.07091	77	0	17	2023.09.11 02:04:00
2023.09.11	02:05:00	1.07091	1.07097	1.0709	1.07097	35	0	17	2023.09.11 02:05:00
2023.09.11	02:06:00	1.07098	1.07099	1.07095	1.07097	34	0	17	2023.09.11 02:06:00
2023.09.11	02:07:00	1.07098	1.07098	1.07094	1.07096	25	0	16	2023.09.11 02:07:00
